,Card Name,Minimum Salaried Income,Minimum ITR for Self Employed,Joining Fee,Renewal Fee,Best Suited For,Reward Type,Welcome Benefits,Bank Name,shopping,travel,dining,movies,fuel,food,bill payment,stays,business expenses,annual fee waiver,welcome scores
136,IDFC FIRST Select Credit Card,1200000,1200000,0,0,travel | shopping,Reward Points,"Vouchers worth ₹500 on spends of ₹5,000 within 30 days of card issuance. Also, get a 5% cashback on EMI transactions (up to Rs. 1,000) within 30 days of card issuance.",IDFC Bank,1,1,0,0,0,0,0,0,0,0,2
137,IDFC First Bank Ashva Metal Credit Card,1200000,1200000,2999,2999,travel | shopping,Reward Points,"Bonus 2,500 Reward Points (₹625). ₹2,000 Cashback on Making Four Transactions of ₹500 or Above",IDFC Bank,1,1,0,0,0,0,0,0,0,inf,4
138,IDFC First Bank Mayura Credit Card,2500000,2500000,5999,5999,movies | travel | shopping,Reward Points,"5,000 Bonus Reward Points for New Card Applicants. Maximum Cashback of ₹4,000 on Making Four Transactions of ₹1,000 or More",IDFC Bank,1,1,0,1,0,0,0,0,0,inf,5
139,IDFC FIRST Classic Credit Card,300000,300000,0,0,travel | shopping,Reward Points,"Welcome gift voucher worth ₹500 on spending ₹5,000 or more within the first 30 days. Also, get 5% cashback on the value of your first EMI transaction done within 30 days of card generation.",IDFC Bank,1,1,0,0,0,0,0,0,0,0,1
140,IDFC HPCL First Power Plus Credit Card,300000,300000,499,499,fuel,Reward Points,"Up to ₹500 cash back on your 1st HPCL fuel transaction above ₹500 and up to 5% cashback (up to ₹1,000 capped) on the transaction value of the first EMI.",IDFC Bank,0,0,0,0,1,0,0,0,0,inf,2
141,IDFC HPCL FIRST Power Credit Card,300000,300000,199,199,fuel,Reward Points,"Up to ₹250 cash back on your 1st HPCL fuel transaction above ₹250 and up to 5% cashback (up to ₹1,000 capped) on the transaction value of the first EMI.",IDFC Bank,0,0,0,0,1,0,0,0,0,inf,2
142,IDFC FIRST Wealth Credit Card,3600000,3600000,0,0,movies | travel | shopping,Reward Points,"₹500 Voucher from Uber, Amazon, and Bigbasket on Spending ₹5,000 Within 30 Days of Card Issuance. 5% Cashback Upto ₹1,000 on the First EMI Transaction",IDFC Bank,1,1,0,1,0,0,0,0,0,0,2
143,IDFC Bank FIRST SWYP Credit Card,0,0,499,499,movies | travel | shopping,Reward Points,"1,000 RPs on First EMI Transaction, 1 Year Lenskart Gold Membership & 1-Year Times Prime Membership",IDFC Bank,1,1,0,1,0,0,0,0,0,inf,4
144,IDFC FIRST WoW Credit Card,0,0,0,0,dining | shopping,Reward Points,,IDFC Bank,1,0,1,0,0,0,0,0,0,0,0
145,Club Vistara IDFC First Credit Card,300000,300000,4999,4999,travel,Reward Points,Complimentary class upgrade voucher and 1 premium economy flight ticket voucher for Air Vistara,IDFC Bank,0,1,0,0,0,0,0,0,0,inf,8
146,IndusInd Legend Credit Card,240000,240000,0,0,travel | shopping,Reward Points,,IndusInd Bank,1,1,0,0,0,0,0,0,0,0,0
147,IndusInd Bank Platinum RuPay Credit Card,240000,240000,0,0,shopping,Reward Points,,IndusInd Bank,1,0,0,0,0,0,0,0,0,0,0
148,EazyDiner IndusInd Platinum Credit Card,240000,240000,0,0,food,Reward Points,3-Month EazyDiner Prime Membership and 500 Bonus EazyPoints,IndusInd Bank,0,0,0,0,0,1,0,0,0,0,1
149,EazyDiner IndusInd Bank Signature Credit Card,240000,240000,1999,1999,travel | food,Reward Points,"2,000 Bonus EazyPoints, Complimentary Membership of EazyDiner Prime, and Postcard Hotel Stay Voucher Worth ₹5,000",IndusInd Bank,0,1,0,0,0,1,0,0,0,inf,5
150,IndusInd Bank Platinum Credit Card,240000,240000,0,0,shopping,Reward Points,,IndusInd Bank,1,0,0,0,0,0,0,0,0,0,0
151,IndusInd Bank Platinum Aura Edge Credit Card,0,0,500,0,shopping,Reward Points,"Get an EazyDiner discount voucher, and get a discount voucher from any of these brands: Amazon, Flipkart, Big Bazaar, Zee5, Apollo Pharmacy, Uber, Ola, etc.",IndusInd Bank,1,0,0,0,0,0,0,0,0,0,1
152,IndusInd Bank Avios Visa Infinite Credit Card,0,0,40000,10000,travel,Reward Points,"Complimentary Gold tier membership and bonus 20,000 Avios for Qatar Airways Privilege Club members, and bonus 55,000 Avios for British Airways Executive Club members",IndusInd Bank,0,1,0,0,0,0,0,0,0,inf,5
153,IndusInd Bank PIONEER Private Credit Card,0,0,0,25000,shopping,Reward Points,"6,000 Reward Points (On Spends of ₹1 Lakh)",IndusInd Bank,1,0,0,0,0,0,0,0,0,1000000,2
154,IndusInd Bank Samman RuPay Credit Card,240000,240000,0,199,shopping,Cashback,,IndusInd Bank,1,0,0,0,0,0,0,0,0,75000,0
155,Indus Solitaire Credit Card,0,0,30000,10000,travel | shopping,Reward Points,"Free Taj Epicure, EazyDiner Prime, and Moneycontrol Pro Membership. 5,000 Reward Points on Spending Rs. 1 Lakh Within 30 Days of Card Issuance",IndusInd Bank,1,1,0,0,0,0,0,0,0,1000000,4
156,IndusInd Nexxt Credit Card,240000,240000,1999,0,movies | shopping,Reward Points,"Gift vouchers from one of these brands: EazyDiner, Bata, Oberoi Hotels, Yatra, Vero Moda, or Aldo, etc as welcome gifts.",IndusInd Bank,1,0,0,1,0,0,0,0,0,0,1
157,IndusInd Bank ePay Amex Credit Card,0,0,0,0,shopping,Reward Points,Free 3-Month Zomato Gold Membership,IndusInd Bank,1,0,0,0,0,0,0,0,0,0,1
158,IndusInd Bank Duo Plus Credit Card,0,0,1500,799,movies | shopping,Reward Points,"Vouchers Worth ₹1,000 from Any One of the Following Brands - Bata, United Colors of Benetton, Levis, Pantaloons, Pizza Hut",IndusInd Bank,1,0,0,1,0,0,0,0,0,inf,2
159,IndusInd Bank Crest Credit Card,0,0,1,0,travel | shopping,Reward Points,,IndusInd Bank,1,1,0,0,0,0,0,0,0,0,0
160,IndusInd Bank Celesta Credit Card,0,0,25000,5000,movies | travel,Reward Points,"Vouchers Worth ₹25,000",IndusInd Bank,0,1,0,1,0,0,0,0,0,1000000,10
161,IndusInd Bank Indulge Credit Card,0,0,2,0,travel | dining | shopping,Reward Points,,IndusInd Bank,1,1,1,0,0,0,0,0,0,0,0
162,IndusInd Bank Pinnacle World Credit Card,0,0,14999,0,travel | shopping,Reward Points,"Choose any one benefit from, a Luxe gift card, a complimentary night stay at Oberoi hotels, or gift vouchers from brands like Hush Puppies, BATA, Titan, Pantaloons, Raymond, etc.",IndusInd Bank,1,1,0,0,0,0,0,0,0,0,5
163,IndusInd Bank Pioneer Legacy Credit Card,0,0,45000,0,movies | travel,Reward Points,"Oberoi hotel e-gift voucher and a Luxe Gift card worth Rs 5,000",IndusInd Bank,0,1,0,1,0,0,0,0,0,0,5
164,IndusInd Bank Pioneer Heritage Credit Card,0,0,90000,25000,movies | travel,Reward Points,Oberoi e-gift voucher and a Luxe Gift card.,IndusInd Bank,0,1,0,1,0,0,0,0,0,1000000,5
165,Club Vistara IndusInd Bank Explorer Credit Card,0,0,40000,10000,movies | travel,Reward Points,"Complimentary Club Vistara Gold Membership, complimentary business class ticket, and exclusive gift vouchers worth Rs 25,000.",IndusInd Bank,0,1,0,1,0,0,0,0,0,inf,10
166,IndusInd Bank Platinum Select Credit Card,240000,240000,999,0,shopping,Reward Points,"Get great discounts at EazyDiner, and gift vouchers from BATA and Vero Moda.",IndusInd Bank,1,0,0,0,0,0,0,0,0,0,1
167,IndusInd Bank Iconia Amex Credit Card,240000,240000,3500,0,movies | travel | dining,Reward Points,"You get exclusive Montblanc e-gift vouchers, Postcard hotel vouchers, and Luxe Gift cards, and vouchers from popular brands like Flipkart, Big Bazaar, and many more.",IndusInd Bank,0,1,1,1,0,0,0,0,0,0,7
168,IndusInd Bank Payback Credit Card,240000,240000,249,0,movies | shopping,Reward Points,"1,000 PAYBACK points after paying the joining fee",IndusInd Bank,1,0,0,1,0,0,0,0,0,0,1
169,IndusInd Bank Iconia Visa Credit Card,240000,240000,3499,0,movies,Reward Points,"The card provides various welcome benefits in the form of gift cards and vouchers that include Montblanc, Luxe Gift card, the Postcard hotel, and vouchers/gift cards for Amazon, Flipkart, Big Bazaar, Zee5, Apollo pharmacy, and many more.",IndusInd Bank,0,0,0,1,0,0,0,0,0,0,7
170,IndusInd Bank Signature Visa Credit Card,240000,240000,50000,0,travel,Reward Points,Get a luxurious stay at any of the best Oberoi hotels.,IndusInd Bank,0,1,0,0,0,0,0,0,0,0,7
171,Myntra Kotak Credit Card,0,0,500,500,shopping | food,Cashback,Myntra voucher worth Rs. 500 on making 1 transaction above Rs. 500 inside 30 days of card issuance,Kotak Mahindra,1,0,0,0,0,1,0,0,0,200000,1
172,6E Rewards XL – Indigo Kotak Bank Credit Card,0,0,2500,2500,travel,Reward Points,"Complimentary flight ticket worth Rs. 3,000 and 6E add-ons worth Rs. 1099",Kotak Mahindra,0,1,0,0,0,0,0,0,0,50000,5
173,6E Rewards – Indigo Kotak Bank Credit Card,0,0,700,700,travel,Reward Points,"You get a complimentary flight ticket and 6E add-on, Accor hotels stay/dining vouchers, and a Budweiser gift voucher.",Kotak Mahindra,0,1,0,0,0,0,0,0,0,50000,5
174,IndianOil Kotak Credit Card,0,0,449,449,fuel,Reward Points,Get 1000 Reward Points on spending Rs. 500 or more within 30 days of getting the card,Kotak Mahindra,0,0,0,0,1,0,0,0,0,50000,1
175,Kotak White Reserve Credit Card,2500000,2500000,12500,12500,shopping,Reward Points,,Kotak Mahindra,1,0,0,0,0,0,0,0,0,1000000,0
176,Kotak Royale Signature Credit Card,2400000,2400000,0,999,travel | shopping,Reward Points,,Kotak Mahindra,1,1,0,0,0,0,0,0,0,100000,0
177,Kotak Zen Signature Credit Card,480000,480000,1500,1500,travel | shopping,Reward Points,Get 1500 Zen Points on payment of joining fees,Kotak Mahindra,1,1,0,0,0,0,0,0,0,150000,1
178,Kotak Privy League Signature Credit Card,0,0,0,0,shopping,Reward Points,,Kotak Mahindra,1,0,0,0,0,0,0,0,0,0,0
179,Kotak Mojo Platinum Credit Card,400000,400000,1000,1000,travel | shopping,Reward Points,,Kotak Mahindra,1,1,0,0,0,0,0,0,0,100000,0
180,Kotak League Platinum Credit Card,500000,500000,499,499,movies,Reward Points,Get a movie voucher worth Rs 500 on payment of the joining fee,Kotak Mahindra,0,0,0,1,0,0,0,0,0,50000,1
181,PVR INOX Kotak Credit Card,0,0,0,499,movies,Reward Points,,Kotak Mahindra,0,0,0,1,0,0,0,0,0,inf,0
182,PVR Kotak Platinum Credit Card,0,0,0,999,movies,Reward Points,,Kotak Mahindra,0,0,0,1,0,0,0,0,0,inf,0
183,PVR Kotak Gold Credit Card,0,0,0,499,movies,Reward Points,,Kotak Mahindra,0,0,0,1,0,0,0,0,0,inf,0
184,Kotak Mahindra Bank UPI RuPay Credit Card,0,0,0,0,shopping,Reward Points,,Kotak Mahindra,1,0,0,0,0,0,0,0,0,0,0
185,Kotak White Credit Card,2500000,2500000,3000,3000,shopping,Reward Points,"Voucher worth Rs. 1,500 on spending Rs. 30,000 withing 60 days of card setup",Kotak Mahindra,1,0,0,0,0,0,0,0,0,500000,2
186,Kotak Urbane Gold Credit Card,300000,300000,0,199,shopping,Reward Points,,Kotak Mahindra,1,0,0,0,0,0,0,0,0,15000,0
187,Kotak Veer Select Credit Card,0,0,0,599,shopping,Reward Points,"Complimentary IHO membership worth Rs. 8,500 on spending Rs. 500 within the first 30 days of card issuance.",Kotak Mahindra,1,0,0,0,0,0,0,0,0,100000,7
188,Kotak Veer Platinum Credit Card,0,0,0,299,shopping,Reward Points,500 Reward Points if you spend Rs. 500 in the first 30 days of card set-up,Kotak Mahindra,1,0,0,0,0,0,0,0,0,50000,1
189,Kotak Essentia Platinum Credit Card,0,0,1499,749,shopping,Reward Points,,Kotak Mahindra,1,0,0,0,0,0,0,0,0,inf,0
190,Kotak Bank Fortune Gold Card,300000,300000,0,0,shopping,Reward Points,,Kotak Mahindra,1,0,0,0,0,0,0,0,0,0,0
191,RBL Bank ShopRite Credit Card,0,0,0,0,shopping,Reward Points,"2,000 Reward Points",RBL Bank,1,0,0,0,0,0,0,0,0,0,1
192,IndianOil RBL Bank Credit Card,0,0,500,500,fuel,Reward Points,"1,000 Fuel Points",RBL Bank,0,0,0,0,1,0,0,0,0,inf,1
193,IndianOil RBL Bank XTRA Credit Card,0,0,1500,1500,fuel,Reward Points,"3,000 Fuel Points",RBL Bank,0,0,0,0,1,0,0,0,0,inf,1
194,RBL World Safari Credit Card,0,0,3000,3000,travel,Reward Points,"MakeMyTrip voucher worth Rs. 3,000 as a welcome gift",RBL Bank,0,1,0,0,0,0,0,0,0,inf,5
195,IRCTC RBL Bank Credit Card,0,0,500,500,travel,Reward Points,500 Reward Points,RBL Bank,0,1,0,0,0,0,0,0,0,inf,1
196,BookMyShow RBL Bank Play Credit Card,0,0,500,500,movies | food,Reward Points,Get a discount of up to Rs. 500 on movie/non-movie ticket bookings via BookMyShow on making at least one transactions using the RBL Play Credit Card within the first 30 days.,RBL Bank,0,0,0,1,0,1,0,0,0,inf,1
197,RBL Platinum Delight Credit Card,0,0,1000,1000,shopping,Reward Points,"4,000 Reward Points",RBL Bank,1,0,0,0,0,0,0,0,0,200000,2
198,RBL Bank Platinum Maxima Plus Credit Card,0,0,2500,2500,travel,Reward Points,"10,000 Reward Points",RBL Bank,0,1,0,0,0,0,0,0,0,100000,4
199,RBL Bank Icon Credit Card,0,0,5000,5000,travel | shopping,Reward Points,"Get 20,000 bonus reward points.",RBL Bank,1,1,0,0,0,0,0,0,0,inf,5
200,RBL Bank iGlobe Credit Card,0,0,3000,3000,shopping,Reward Points,"MMT voucher worth ₹3,000",RBL Bank,1,0,0,0,0,0,0,0,0,inf,5
201,RBL Bank Insignia Preferred Banking World Card,0,0,0,0,movies | travel,Reward Points,"28,000 Reward Points (For Those With Fee Variant)",RBL Bank,0,1,0,1,0,0,0,0,0,0,6
202,Patanjali RBL Bank Vishisht Credit Card,0,0,499,499,shopping,Cashback,"Earn 2,000 Reward Points within 30 days of card issuance",RBL Bank,1,0,0,0,0,0,0,0,0,inf,1
203,Patanjali RBL Bank Swarn Credit Card,0,0,1499,1499,shopping,Cashback,"Earn 6,000 Reward Points on making the first transaction worth ₹1,000.",RBL Bank,1,0,0,0,0,0,0,0,0,inf,2
204,TVS Credit RBL Bank Credit Card,0,0,500,500,shopping,Reward Points,"2,000 bonus RP on the first transaction within 30 days from card issuance",RBL Bank,1,0,0,0,0,0,0,0,0,inf,1
205,TVS Credit RBL Bank Gold Credit Card,0,0,1599,1599,shopping,Reward Points,"6,000 bonus RP on the first transaction within 30 days from card issuance",RBL Bank,1,0,0,0,0,0,0,0,0,inf,2
206,RBL Bank SalarySe UP Credit Card,0,0,499,499,shopping,Reward Points,"Earn up to 2,500 Reward Points after the first transaction",RBL Bank,1,0,0,0,0,0,0,0,0,inf,1
207,RBL Bank Novio Credit Card,0,0,500,500,shopping,Reward Points,"2,000 Reward Points when you make purchases of ₹5,000 within 30 days of card issuance, a clear sign that you're valued as a customer.",RBL Bank,1,0,0,0,0,0,0,0,0,inf,1
208,RBL Bank DMI Finance Credit Card,0,0,499,499,shopping,Reward Points,"Earn 2,000 Reward Points; BookMyShow movie voucher worth ₹200 on card activation",RBL Bank,1,0,0,0,0,0,0,0,0,inf,1
209,RBL Bank Cookies Credit Card,0,0,100,100,shopping,Reward Points,"Gift Voucher Worth Rs. 1,000 from Flipkart/Amazon/Croma/Myntra/Shoppers Stop",RBL Bank,1,0,0,0,0,0,0,0,0,inf,2
210,RBL Bank Popcorn Credit Card,0,0,1000,1000,movies,Reward Points,4 free movie tickets (up to Rs. 1000).,RBL Bank,0,0,0,1,0,0,0,0,0,inf,2
211,RBL Bank Titanium Delight Card,0,0,750,750,shopping,Reward Points,"Bonus Reward Points of up to 3,000 points.",RBL Bank,1,0,0,0,0,0,0,0,0,150000,1
212,RBL Bank Monthly Treats Credit Card,0,0,50,50,dining,Reward Points,,RBL Bank,0,0,1,0,0,0,0,0,0,inf,0
213,Zomato Edition Classic Credit Card,0,0,500,500,dining,Reward Points,500 Edition Cash,RBL Bank,0,0,1,0,0,0,0,0,0,inf,1
214,RBL Bank Edition Credit Card,0,0,2000,2000,dining,Reward Points,Complimentary Zomato pro membership.,RBL Bank,0,0,1,0,0,0,0,0,0,250000,1
215,SBI SimplyCLICK Credit Card,240000,240000,499,499,shopping,Reward Points,Amazon Gift Card Worth Rs. 500,SBI,1,0,0,0,0,0,0,0,0,100000,1
216,Cashback SBI Credit Card,0,0,999,999,shopping | food,Cashback,,SBI,1,0,0,0,0,1,0,0,0,200000,0
217,SBI SimplySAVE UPI Rupay Credit Card,240000,240000,499,499,shopping,Reward Points,"2,000 Reward Points on Spending ₹2,000 in the First 60 Days",SBI,1,0,0,0,0,0,0,0,0,100000,1
218,BPCL SBI Octane Credit Card,0,0,1499,1499,travel | fuel | food,Reward Points,"6,000 Bonus Reward Points Worth ₹1,500",SBI,0,1,0,0,1,1,0,0,0,200000,2
219,SBI Card PULSE,200000,200000,1499,1499,shopping,Reward Points,"A Noise ColorFit Pulse Smart Watch worth Rs. 5,999, complimentary Fitpass Pro membership, and complimentary Netmeds First membership.",SBI,1,0,0,0,0,0,0,0,0,200000,6
220,SBI Prime Credit Card,384000,384000,2999,2999,travel | shopping,Reward Points,"Gift voucher (worth Rs. 3,000) from any of these brands, Yatra, Aditya Birla Fashion, Bata/Hush Puppies, Shoppers Stop, and Pantaloons.",SBI,1,1,0,0,0,0,0,0,0,300000,5
221,BPCL SBI Credit Card,240000,240000,499,499,fuel,Reward Points,"2,000 Activation Bonus Reward Points worth Rs.500 on payment of joining fee (credited after 20 days of the payment of joining fee).",SBI,0,0,0,0,1,0,0,0,0,50000,1
222,SBI ELITE Credit Card,720000,720000,4999,4999,movies | travel | shopping,Reward Points,"E-vouchers worth Rs. 5,000 from any one of the brands, including Yatra, Aditya Birla Fashion, Hush Puppies/Bata, Pantaloons, and Shoppers Stop.",SBI,1,1,0,1,0,0,0,0,0,1000000,5
223,Aditya Birla SBI Credit Card,200000,200000,499,499,travel | shopping,Reward Points,"Activation bonus of 2,000 Rewards Points.",SBI,1,1,0,0,0,0,0,0,0,inf,1
224,SBI Card MILES,0,0,1499,1499,travel,Reward Points,"Get 1,500 Travel Credits on spending ₹30,000 within 60 days of issuance.",SBI,0,1,0,0,0,0,0,0,0,600000,2
225,SBI Card MILES PRIME,0,0,2999,2999,travel,Reward Points,"Get 3,000 Travel Credits on spending ₹60,000 within 60 days of issuance.",SBI,0,1,0,0,0,0,0,0,0,1000000,5
226,KrisFlyer SBI Credit Card,0,0,2999,2999,travel,KrisFlyer Miles,"3,000 KrisFlyer Miles",SBI,0,1,0,0,0,0,0,0,0,300000,1
227,SBI Card Miles Elite,0,0,4999,4999,travel,Reward Points,"5,000 Travel Credits",SBI,0,1,0,0,0,0,0,0,0,1500000,5
228,IRCTC SBI RuPay Credit Card,0,0,500,500,travel,Reward Points,350 Reward Points on a Minimum Transaction of ₹500 Within 45 Days of Receiving the Card,SBI,0,1,0,0,0,0,0,0,0,inf,1
229,Titan SBI Credit Card,0,0,299,299,shopping,Reward Points,"12000 Reward Points (Worth ₹3,000)",SBI,1,0,0,0,0,0,0,0,0,300000,5
230,Reliance SBI Card,0,0,499,499,shopping,Reward Points,"Reliance Retail Vouchers Worth Rs. 500 and Discount Vouchers of Rs. 3,200",SBI,1,0,0,0,0,0,0,0,0,100000,5
231,Reliance SBI Card PRIME,0,0,2999,2999,shopping,Reward Points,"Reliance Retail Vouchers Worth Rs. 3,000 and Discount Vouchers of Rs. 11,999",SBI,1,0,0,0,0,0,0,0,0,300000,8
232,Etihad Guest SBI Premier Credit Card,480000,480000,4999,4999,travel,Reward Points,"5,000 Etihad Guest Miles, 2 Free Wifi vouchers on first Etihad Airways booking, complimentary Etihad Guest Gold tier status post first card transaction,",SBI,0,1,0,0,0,0,0,0,0,inf,2
233,Etihad Guest SBI Credit Card,480000,480000,1499,1499,travel,Reward Points,"2,500 Etihad Guest Miles, Etihad Guest Silver tier status, 1 complimentary wifi voucher on first booking for Etihad Airways",SBI,0,1,0,0,0,0,0,0,0,inf,1
234,IRCTC SBI Card Premier,240000,240000,1499,1499,travel,Reward Points,"1,500 Reward Points",SBI,0,1,0,0,0,0,0,0,0,200000,1
235,Yatra SBI Credit Card,240000,240000,499,499,travel,Reward Points,Get e-gift vouchers from Yatra.com worth Rs 8250/- on paying the membership fee,SBI,0,1,0,0,0,0,0,0,0,100000,7
236,FABindia SBI Card SELECT,0,0,1499,1499,shopping,Reward Points,"Fabindia Vouchers worth Rs. 1,500; direct access to platinum tier Fabfamily membership.",SBI,1,0,0,0,0,0,0,0,0,200000,2
237,FABINDIA SBI Credit Card,0,0,499,499,shopping,Reward Points,Fabindia gift vouchers worth Rs. 500 & Fabfamily Gold Tier membership.,SBI,1,0,0,0,0,0,0,0,0,100000,1
238,Paytm SBI Credit Card Select,0,0,1499,1499,shopping,Reward Points,Get a Complimentary Paytm First Membership is provided on card activation as welcome offer. Welcome Cashback of Rs 750 is provided to the card holder upon activation of the credit card in your Paytm wallet.,SBI,1,0,0,0,0,0,0,0,0,200000,3
239,Paytm SBI Credit Card,0,0,499,499,shopping,Reward Points,Complimentary membership to Paytm First worth Rs. 899.,SBI,1,0,0,0,0,0,0,0,0,inf,1
240,SBI Tata Platinum Card,0,0,3000,3000,shopping,Fuel Points,"You get exclusive shopping e-Gift vouchers worth Rs 3000 from any partner exclusive such as Yatra, Hush Puppies / Bata, Aditya Birla Fashion, Westside",SBI,1,0,0,0,0,0,0,0,0,100000,5
241,Lifestyle Home Centre SBI Card,0,0,499,499,shopping,Reward Points,"2,000 bonus reward points worth Rs. 500 on card activation and Rs. 100 cash back on your first ATM cash withdrawal within 30 days of card activation.",SBI,1,0,0,0,0,0,0,0,0,inf,1
242,Lifestyle Home Centre SBI Card Prime,0,0,2999,2999,shopping,Reward Points,12000 RPs worth Rs. 3000. Rs. 100 cash-back on first withdrawal using ATM (within 30 days of receiving the card),SBI,1,0,0,0,0,0,0,0,0,inf,5
243,Apollo SBI Credit Card,0,0,499,499,shopping,Reward Points,500 Reward Points and complimentary Apollo Gold Tier Membership,SBI,1,0,0,0,0,0,0,0,0,100000,1
244,Max SBI Card SELECT,0,0,1499,1499,shopping,Reward Points,Earn 6000 bonus reward points on paying annual fees.,SBI,1,0,0,0,0,0,0,0,0,inf,2
245,SBI Shaurya Credit Card,0,0,250,250,shopping,Reward Points,"1,000 bonus Reward Points",SBI,1,0,0,0,0,0,0,0,0,50000,1
246,FABindia SBI Card SELECT,0,0,0,1499,shopping,Reward Points,,SBI,1,0,0,0,0,0,0,0,0,200000,0
247,Club Vistara SBI Card PRIME,480000,480000,2999,2999,travel,Reward Points,1 complimentary Premium Economy class ticket as a gift voucher on payment of the joining/renewal fee.,SBI,0,1,0,0,0,0,0,0,0,300000,7
248,Club Vistara SBI Credit Card,480000,480000,1499,1499,travel,Reward Points,1 economy class air ticket e-voucher as a complimentary gift and Club Vistara Base membership,SBI,0,1,0,0,0,0,0,0,0,150000,5
249,Air India SBI Signature Credit Card,720000,720000,4999,4999,travel,Reward Points,"20,000 Maharaja Points",SBI,0,1,0,0,0,0,0,0,0,1000000,5
250,Air India SBI Platinum Credit Card,480000,480000,1499,1499,travel,Reward Points,"5,000 reward points after paying the joining fee (credited within 15 days from the date of payment)",SBI,0,1,0,0,0,0,0,0,0,200000,2
251,OLA Money SBI Credit Card,0,0,0,499,travel,Reward Points,,SBI,0,1,0,0,0,0,0,0,0,100000,0
252,Nature's Basket SBI Card,0,0,1499,1499,shopping,Reward Points,"Gift voucher worth Rs. 1,500 from Nature’s Basket and complimentary access to ‘Epicure’ Nature’s Basket Loyalty Program",SBI,1,0,0,0,0,0,0,0,0,200000,2
253,Nature's Basket SBI Card Elite,0,0,4999,4999,shopping,Reward Points,"Complementary access to Connoisseur, Nature’s Basket loyalty program and Nature’s Basket Gift Voucher worth Rs. 5,000.",SBI,1,0,0,0,0,0,0,0,0,1000000,5
254,Aditya Birla SBI Card SELECT,200000,200000,1499,1499,travel | shopping,Reward Points,6000 Rewards Points on card issuance.,SBI,1,1,0,0,0,0,0,0,0,200000,2
255,Standard Chartered Platinum Rewards Credit Card,0,0,0,0,dining | fuel,Reward Points,,Standard Chartered,0,0,1,0,1,0,0,0,0,0,0
256,Standard Chartered Smart Credit Card,0,0,499,499,shopping,Cashback,Extended 90 days interest period from the date of the card issuance date.,Standard Chartered,1,0,0,0,0,0,0,0,0,120000,1
257,Standard Chartered Rewards Credit Card,0,0,0,1000,shopping,Cashback,,Standard Chartered,1,0,0,0,0,0,0,0,0,6000,0
258,Standard Chartered EaseMyTrip Credit Card,0,0,350,350,travel,Cashback,,Standard Chartered,0,1,0,0,0,0,0,0,0,50000,0
259,Standard Chartered Super Value Titanium Credit Card,0,0,750,750,fuel | shopping,Cashback,"Up to 1,500 cashback on fuel transactions within the first three months.",Standard Chartered,1,0,0,0,1,0,0,0,0,inf,2
260,YES Bank RESERV Credit Card,1800000,1800000,2499,2499,travel | shopping,Reward Points,,YES Bank,1,1,0,0,0,0,0,0,0,300000,0
261,YES Select Credit Card,600000,750000,599,599,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,75000,0
262,YES Bank BYOC Credit Card,300000,750000,49,49,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,inf,0
263,Yes Bank Marquee Credit Card,3600000,2400000,9999,4999,movies | travel | shopping,Reward Points,"40,000 Reward Points",YES Bank,1,1,0,1,0,0,0,0,0,inf,7
264,Yes Bank RuPay Credit Card,0,0,0,0,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,0,0
265,YES ACE Credit Card,420000,500000,499,499,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,50000,0
266,Yes Bank Wellness Credit Card,300000,500000,499,499,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,inf,0
267,YES Bank Wellness Plus Credit Card,300000,500000,1499,1499,travel,Reward Points,,YES Bank,0,1,0,0,0,0,0,0,0,inf,0
268,YES Bank EMI Credit Card,750000,750000,499,499,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,inf,0
269,YES Prosperity Rewards Credit Card,300000,500000,499,499,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,75000,0
270,YES First Preferred Credit Card,2400000,2400000,999,999,shopping,Reward Points,,YES Bank,1,0,0,0,0,0,0,0,0,inf,0
271,YES Prosperity Cashback Plus Credit Card,420000,500000,1499,1499,shopping,Reward Points,A cashback of Rs. 250 on spending Rs. 2500 within the first 30 days.,YES Bank,1,0,0,0,0,0,0,0,0,inf,1
